Day,Away Team,Home Team
Monday,Ottawa Senators,Washington Capitals
Monday,Buffalo Sabres,Montreal Canadiens
Monday,Tampa Bay Lightning,Florida Panthers
Monday,New York Islanders,New York Rangers
Monday,San Jose Sharks,Toronto Maple Leafs
Monday,Los Angeles Kings,Chicago Blackhawks
Tuesday,Nashville Predators,Boston Bruins
Tuesday,San Jose Sharks,Buffalo Sabres
Tuesday,Carolina Hurricanes,Detroit Red Wings
Tuesday,Columbus Blue Jackets,Tampa Bay Lightning
Tuesday,Calgary Flames,Philadelphia Flyers
Tuesday,Winnipeg Jets,New York Islanders
Tuesday,New Jersey Devils,Dallas Stars
Tuesday,Pittsburgh Penguins,Colorado Avalanche
Tuesday,Anaheim Ducks,Edmonton Oilers
Tuesday,Minnesota,Seattle Kraken
Wednesday,Washington Capitals,New York Rangers
Wednesday,Ottawa Senators,Chicago Blackhawks
Wednesday,Toronto Maple Leafs,Vegas Golden Knights
Wednesday,Anaheim Ducks,Vancouver Canucks
Wednesday,St. Louis Blues,Los Angeles Kings
Thursday,Utah Hockey Club,Detroit Red Wings
Thursday,Buffalo Sabres,Tampa Bay Lightning
Thursday,Columbus Blue Jackets,Florida Panthers
Thursday,Winnipeg Jets,Philadelphia Flyers
Thursday,Boston Bruins,Carolina Hurricanes
Thursday,Seattle Kraken,Nashville Predators
Thursday,Calgary Flames,Dallas Stars
Thursday,Montreal Canadiens,Edmonton Oilers
Thursday,San Jose Sharks,Colorado Avalanche
Friday,Winnipeg Jets,New Jersey Devils
Friday,Detroit Red Wings,Washington Capitals
Friday,Utah Hockey Club,Chicago Blackhawks
Friday,Minnesota,Vancouver Canucks
Friday,Pittsburgh Penguins,Vegas Golden Knights
Friday,St. Louis Blues,Anaheim Ducks
Saturday,New York Rangers,Ottawa Senators
Saturday,Seattle Kraken,Philadelphia Flyers
Saturday,Boston Bruins,Tampa Bay Lightning
Saturday,Buffalo Sabres,Florida Panthers
Saturday,Toronto Maple Leafs,Colorado Avalanche
Saturday,Montreal Canadiens,Calgary Flames
Saturday,Chicago Blackhawks,Nashville Predators
Saturday,St. Louis Blues,Los Angeles Kings
Saturday,Dallas Stars,Edmonton Oilers
Saturday,New York Islanders,San Jose Sharks
Sunday,New Jersey Devils,Philadelphia Flyers
Sunday,Seattle Kraken,Washington Capitals
Sunday,Pittsburgh Penguins,Minnesota
Sunday,Winnipeg Jets,Carolina Hurricanes
Sunday,Columbus Blue Jackets,New York Rangers
Sunday,Los Angeles Kings,Vegas Golden Knights
Sunday,Dallas Stars,Vancouver Canucks
Sunday,New York Islanders,Anaheim Ducks
