Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Jesse Puljujarvi,PIT,R,R,1998-05-07,Alvkarleby,--,SWE,FIN,76,216,2016,1,4,20162017,N,12,1,5,6
Taylor Raddysh,WSH,R,R,1998-02-18,Caledon,ON,CAN,CAN,75,198,2016,2,58,20212022,N,12,2,3,5
Pierre-Luc Dubois,WSH,L,L,1998-06-24,Ste-Agathe-des-Monts,QC,CAN,CAN,76,225,2016,1,3,20172018,N,12,1,6,7
Nathan Bastian,NJD,R,R,1997-12-06,Kitchener,ON,CAN,CAN,76,205,2016,2,41,20182019,N,12,2,3,5
Filip Hronek,VAN,R,D,1997-11-02,Hradec Kralove,--,CZE,CZE,72,190,2016,2,53,20182019,N,12,0,4,4
Brandon Duhaime,WSH,L,R,1997-05-22,Coral Springs,FL,USA,USA,74,200,2016,4,106,20212022,N,12,2,2,4
Mathieu Olivier,CBJ,R,R,1997-02-11,Biloxi,MS,USA,USA,73,226,--,--,--,20192020,N,12,4,2,6
Zack MacEwen,OTT,R,R,1996-07-08,Charlottetown,PE,CAN,CAN,76,227,--,--,--,20182019,N,12,2,1,3
Juuso Valimaki,UTA,L,D,1998-10-06,Tampere,--,FIN,FIN,76,221,2017,1,16,20182019,N,12,0,0,0
Conor Timmins,TOR,R,D,1998-09-18,St. Catharines,ON,CAN,CAN,75,213,2017,2,32,20192020,N,12,0,3,3
Michael Rasmussen,DET,L,C,1999-04-17,Surrey,BC,CAN,CAN,78,220,2017,1,9,20182019,N,12,2,2,4
Elias Pettersson,VAN,L,C,1998-11-12,Sundsvall,--,SWE,SWE,74,176,2017,1,5,20182019,N,12,2,3,5
Jason Robertson,DAL,L,L,1999-07-22,Arcadia,CA,USA,USA,75,207,2017,2,39,20192020,N,12,4,3,7
Henri Jokiharju,BUF,R,D,1999-06-17,Oulu,--,FIN,FIN,72,200,2017,1,29,20182019,N,12,1,2,3
Miro Heiskanen,DAL,L,D,1999-07-18,Espoo,--,FIN,FIN,74,197,2017,1,3,20182019,N,12,0,4,4
Martin Necas,CAR,R,C,1999-01-15,Nove Mesto na Morave,--,CZE,CZE,75,195,2017,1,12,20172018,N,12,7,14,21
