Day,Away Team,Home Team
Monday,Buffalo Sabres,Boston Bruins
Monday,Philadelphia Flyers,Tampa Bay Lightning
Monday,New Jersey Devils,Columbus Blue Jackets
Monday,Calgary Flames,Toronto Maple Leafs
Monday,Los Angeles Kings,Minnesota Wild
Tuesday,Ottawa Senators,Montreal Canadiens
Tuesday,Calgary Flames,New York Rangers
Tuesday,New York Islanders,Pittsburgh Penguins
Tuesday,Detroit Red Wings,Washington Capitals
Tuesday,St. Louis Blues,Nashville Predators
Tuesday,Anaheim Ducks,Dallas Stars
Tuesday,Seattle Kraken,Chicago Blackhawks
Tuesday,Utah Hockey Club,Edmonton Oilers
Tuesday,Winnipeg Jets,Vancouver Canucks
Wednesday,Colorado Avalanche,Toronto Maple Leafs
Wednesday,Seattle Kraken,Minnesota Wild
Thursday,Colorado Avalanche,Ottawa Senators
Thursday,Calgary Flames,New Jersey Devils
Thursday,Toronto Maple Leafs,New York Rangers
Thursday,Philadelphia Flyers,Washington Capitals
Thursday,Florida Panthers,Columbus Blue Jackets
Thursday,Montreal Canadiens,New York Islanders
Thursday,Vancouver Canucks,St. Louis Blues
Thursday,Anaheim Ducks,Nashville Predators
Thursday,Tampa Bay Lightning,Dallas Stars
Thursday,Los Angeles Kings,Chicago Blackhawks
Thursday,Winnipeg Jets,Edmonton Oilers
Thursday,Buffalo Sabres,Utah Hockey Club
Thursday,Boston Bruins,Vegas Golden Knights
Thursday,Carolina Hurricanes,San Jose Sharks
Friday,Columbus Blue Jackets,Pittsburgh Penguins
Saturday,Vancouver Canucks,New York Rangers
Saturday,Philadelphia Flyers,Dallas Stars
Saturday,Buffalo Sabres,Minnesota Wild
Saturday,Chicago Blackhawks,St. Louis Blues
Saturday,Calgary Flames,New York Islanders
Saturday,Carolina Hurricanes,Los Angeles Kings
Saturday,Florida Panthers,Washington Capitals
Saturday,Tampa Bay Lightning,Utah Hockey Club
Saturday,Colorado Avalanche,Montreal Canadiens
Saturday,Ottawa Senators,New Jersey Devils
Saturday,Toronto Maple Leafs,Nashville Predators
Saturday,Detroit Red Wings,Vegas Golden Knights
Saturday,Seattle Kraken,Edmonton Oilers
Saturday,Boston Bruins,San Jose Sharks
Sunday,Philadelphia Flyers,Chicago Blackhawks
Sunday,Buffalo Sabres,Winnipeg Jets
Sunday,Pittsburgh Penguins,Florida Panthers
Sunday,Nashville Predators,St. Louis Blues
Sunday,Tampa Bay Lightning,Vegas Golden Knights
Sunday,Carolina Hurricanes,Anaheim Ducks
Sunday,Boston Bruins,Los Angeles Kings
