Day,Away Team,Home Team
Monday,Edmonton Oilers,Buffalo Sabres
Monday,Detroit Red Wings,Ottawa Senators
Monday,Chicago Blackhawks,Colorado Avalanche
Monday,Toronto Maple Leafs,Utah Hockey Club
Tuesday,Florida Panthers,Boston Bruins
Tuesday,Columbus Blue Jackets,New Jersey Devils
Tuesday,Ottawa Senators,Philadelphia Flyers
Tuesday,Vegas Golden Knights,Pittsburgh Penguins
Tuesday,Tampa Bay Lightning,Carolina Hurricanes
Tuesday,Colorado Avalanche,Minnesota
Tuesday,New York Rangers,Winnipeg Jets
Tuesday,Montreal Canadiens,Vancouver Canucks
Tuesday,Washington Capitals,Anaheim Ducks
Tuesday,New York Islanders,Los Angeles Kings
Tuesday,Nashville Predators,San Jose Sharks
Wednesday,Buffalo Sabres,Detroit Red Wings
Wednesday,Vancouver Canucks,Calgary Flames
Wednesday,Anaheim Ducks,Utah Hockey Club
Wednesday,Montreal Canadiens,Seattle Kraken
Thursday,Florida Panthers,Toronto Maple Leafs
Thursday,Boston Bruins,Ottawa Senators
Thursday,Edmonton Oilers,New Jersey Devils
Thursday,Tampa Bay Lightning,Philadelphia Flyers
Thursday,St. Louis Blues,Pittsburgh Penguins
Thursday,Vegas Golden Knights,Columbus Blue Jackets
Thursday,New York Rangers,Minnesota
Thursday,Washington Capitals,Los Angeles Kings
Thursday,Chicago Blackhawks,San Jose Sharks
Friday,Detroit Red Wings,Carolina Hurricanes
Friday,Edmonton Oilers,New York Islanders
Friday,Dallas Stars,Winnipeg Jets
Friday,Colorado Avalanche,Calgary Flames
Friday,Nashville Predators,Anaheim Ducks
Friday,Utah Hockey Club,Seattle Kraken
Saturday,Vegas Golden Knights,Buffalo Sabres
Saturday,New Jersey Devils,Pittsburgh Penguins
Saturday,Washington Capitals,San Jose Sharks
Saturday,Tampa Bay Lightning,Boston Bruins
Saturday,Ottawa Senators,Toronto Maple Leafs
Saturday,Florida Panthers,Montreal Canadiens
Saturday,Carolina Hurricanes,Philadelphia Flyers
Saturday,New York Rangers,Columbus Blue Jackets
Saturday,St. Louis Blues,Minnesota
Saturday,Nashville Predators,Los Angeles Kings
Saturday,Chicago Blackhawks,Vancouver Canucks
Sunday,Vegas Golden Knights,Detroit Red Wings
Sunday,Dallas Stars,Colorado Avalanche
Sunday,Anaheim Ducks,St. Louis Blues
Sunday,Edmonton Oilers,New York Rangers
Sunday,Florida Panthers,New York Islanders
Sunday,Utah Hockey Club,Vancouver Canucks
Sunday,Winnipeg Jets,Seattle Kraken
