Day,Away Team,Home Team
Monday,San Jose Sharks,Winnipeg Jets
Monday,Vegas Golden Knights,Los Angeles Kings
Tuesday,Toronto Maple Leafs,Boston Bruins
Tuesday,Anaheim Ducks,Buffalo Sabres
Tuesday,Carolina Hurricanes,Montreal Canadiens
Tuesday,Edmonton Oilers,Tampa Bay Lightning
Tuesday,Pittsburgh Penguins,Philadelphia Flyers
Tuesday,Calgary Flames,Washington Capitals
Tuesday,Dallas Stars,Columbus Blue Jackets
Tuesday,New York Rangers,New York Islanders
Tuesday,Seattle Kraken,St. Louis Blues
Tuesday,Florida Panthers,Nashville Predators
Tuesday,Detroit Red Wings,Minnesota Wild
Tuesday,Chicago Blackhawks,Utah Hockey Club
Wednesday,Winnipeg Jets,Ottawa Senators
Wednesday,New Jersey Devils,Colorado Avalanche
Wednesday,Vancouver Canucks,Los Angeles Kings
Thursday,New York Islanders,Boston Bruins
Thursday,San Jose Sharks,Montreal Canadiens
Thursday,Columbus Blue Jackets,Detroit Red Wings
Thursday,Calgary Flames,Tampa Bay Lightning
Thursday,Edmonton Oilers,Florida Panthers
Thursday,Philadelphia Flyers,Pittsburgh Penguins
Thursday,St. Louis Blues,Washington Capitals
Thursday,Buffalo Sabres,Carolina Hurricanes
Thursday,Winnipeg Jets,Nashville Predators
Thursday,Minnesota Wild,Utah Hockey Club
Thursday,Chicago Blackhawks,Vegas Golden Knights
Thursday,Vancouver Canucks,Anaheim Ducks
Friday,Toronto Maple Leafs,New York Rangers
Friday,Los Angeles Kings,Dallas Stars
Friday,Minnesota Wild,Colorado Avalanche
Saturday,Nashville Predators,New York Islanders
Saturday,Tampa Bay Lightning,Washington Capitals
Saturday,Detroit Red Wings,Columbus Blue Jackets
Saturday,Calgary Flames,Florida Panthers
Saturday,Boston Bruins,Pittsburgh Penguins
Saturday,Montreal Canadiens,Buffalo Sabres
Saturday,San Jose Sharks,Ottawa Senators
Saturday,Edmonton Oilers,Carolina Hurricanes
Saturday,Philadelphia Flyers,Winnipeg Jets
Saturday,Los Angeles Kings,St. Louis Blues
Saturday,New Jersey Devils,Utah Hockey Club
Saturday,Chicago Blackhawks,Anaheim Ducks
Saturday,Vancouver Canucks,Seattle Kraken
Sunday,Toronto Maple Leafs,Pittsburgh Penguins
Sunday,Boston Bruins,Minnesota Wild
Sunday,Calgary Flames,Carolina Hurricanes
Sunday,St. Louis Blues,Dallas Stars
Sunday,Nashville Predators,New York Rangers
Sunday,New Jersey Devils,Vegas Golden Knights
